timestamp,campaign,country,ad_network,installs,clicks,impressions,cost,revenue_d1,retention_d1,daily_budget
2026-04-27 12:00:00,SummerBoost_US,US,meta,88,509,8624,124.34,73.3,0.314,3500
2026-04-27 12:00:00,RetargetPro_UK,UK,tiktok,102,391,13513,30.47,15.59,0.319,1200
2026-04-27 12:00:00,BrandAware_DE,DE,meta,41,200,13846,45.35,25.85,0.313,1500
2026-04-27 12:00:00,InstallDrive_DE,DE,meta,52,515,13246,76.6,35.96,0.397,2000
2026-04-27 12:00:00,CreativeTest_US,US,tiktok,108,294,13962,26.76,13.13,0.332,800
2026-04-27 13:00:00,SummerBoost_US,US,meta,117,410,11072,120.45,73.14,0.319,3500
2026-04-27 13:00:00,BrandAware_DE,DE,meta,73,353,11612,57.04,30.36,0.414,1500
2026-04-27 13:00:00,InstallDrive_DE,DE,meta,84,513,8178,64.87,37.2,0.323,2000
2026-04-27 13:00:00,CreativeTest_US,US,tiktok,118,252,11477,23.22,11.29,0.35,800
2026-04-27 13:00:00,RetargetPro_UK,UK,tiktok,79,482,9031,39.1,18.14,0.372,1200
2026-04-27 14:00:00,BrandAware_DE,DE,meta,64,389,9828,40.64,25.3,0.3,1500
2026-04-27 14:00:00,CreativeTest_US,US,tiktok,70,358,8088,29.08,18.82,0.398,800
2026-04-27 14:00:00,InstallDrive_DE,DE,meta,49,537,12302,58.1,33.09,0.366,2000
2026-04-27 14:00:00,SummerBoost_US,US,meta,75,380,13878,127.07,73.54,0.423,3500
2026-04-27 14:00:00,RetargetPro_UK,UK,tiktok,82,512,9681,41.3,22.29,0.423,1200
2026-04-27 15:00:00,RetargetPro_UK,UK,tiktok,51,310,13235,32.22,15.64,0.37,1200
2026-04-27 15:00:00,BrandAware_DE,DE,meta,75,222,9609,51.74,26.82,0.31,1500
2026-04-27 15:00:00,InstallDrive_DE,DE,meta,44,297,8971,61.22,33.01,0.361,2000
2026-04-27 15:00:00,SummerBoost_US,US,meta,69,418,10595,99.09,55.58,0.31,3500
2026-04-27 15:00:00,CreativeTest_US,US,tiktok,92,346,12361,21.86,13.58,0.333,800
2026-04-27 16:00:00,CreativeTest_US,US,tiktok,39,242,13024,28.37,14.49,0.401,800
2026-04-27 16:00:00,InstallDrive_DE,DE,meta,46,460,14179,71.95,38.83,0.302,2000
2026-04-27 16:00:00,RetargetPro_UK,UK,tiktok,94,356,10403,40.04,20.53,0.341,1200
2026-04-27 16:00:00,SummerBoost_US,US,meta,54,531,14008,120.32,62.68,0.446,3500
2026-04-27 16:00:00,BrandAware_DE,DE,meta,58,299,10550,42.9,19.35,0.38,1500
2026-04-27 17:00:00,BrandAware_DE,DE,meta,39,246,8267,50.82,30.24,0.34,1500
2026-04-27 17:00:00,SummerBoost_US,US,meta,110,378,12421,121.14,59.23,0.37,3500
2026-04-27 17:00:00,CreativeTest_US,US,tiktok,72,488,14812,21.88,11.1,0.32,800
2026-04-27 17:00:00,InstallDrive_DE,DE,meta,36,585,11718,71.71,44.73,0.436,2000
2026-04-27 17:00:00,RetargetPro_UK,UK,tiktok,41,346,9686,33.78,17.25,0.355,1200
2026-04-27 18:00:00,CreativeTest_US,US,tiktok,80,419,11333,24.15,11.91,0.441,800
2026-04-27 18:00:00,InstallDrive_DE,DE,meta,60,463,13710,68.33,39.07,0.34,2000
2026-04-27 18:00:00,RetargetPro_UK,UK,tiktok,78,294,14305,43.6,23.96,0.396,1200
2026-04-27 18:00:00,SummerBoost_US,US,meta,79,217,11484,117.32,70.27,0.445,3500
